Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,169721.22,179984.94,169409.81999999998,211990.86000000002,180093.84,240721.56,205027.26,246525.36000000002,265006.08,291995.352,301185.996,288624.77999999997,275273.34,282496.32,275460.61199999996,273977.388,270004.40400000004,261999.56399999998,244299.96000000002,289599.126,335998.404,320012.484,324206.44800000003,304519.872,326992.02,349820.286,369656.616,348793.42799999996,319523.52,299257.58400000003
Jamaica,1354.44,2339.2200000000003,1534.98,2057.22,2675.88,2585.04,3231.8399999999997,2821.5,1744.98,2278.23,2212.6440000000002,1846.5,2227.3799999999997,2246.826,1278.396,2056.6620000000003,2407.176,1210.596,1913.49,1505.052,1233.288,1440.438,1422.9540000000002,1189.752,1263.0720000000001,1200.726,1082.682,1143.288,1071.2579999999998,1372.758
Kenya,89108.1,90842.82,78932.88,79686.72,99787.86,99854.04,74805.18,52917.9,70372.92,90113.46,60111.846,59431.86,56724.12,40405.32,44134.979999999996,39608.1,49564.8,39126.3,32464.500000000004,37784.4,38452.416,45438.918,52526.73,50577.006,46185.774,47950.026,47566.05,47371.008,55825.176,50622.474
Lao People's Democratic Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10285.44,14326.32,12731.1,15488.712,24120.258,21687.75,22766.502,16778.760000000002,23465.915999999997,23587.38,24336.624000000003,26032.134,32661.695999999996,30840.005999999998,32430.138,32665.032,33149.544,32109.521999999997,30619.548000000003,32002.181999999997,38806.98,37310.676
Liberia,180.0,180.0,180.0,300.0,300.0,300.0,300.0,300.0,1066.74,729.78,738.3,709.98,748.92,304.8,346.8,321.65999999999997,403.656,411.066,744.702,761.52,626.3159999999999,614.124,607.278,356.34000000000003,424.39799999999997,602.802,725.202,978.3,356.202,351.0
Mexico,280454.7,283632.36,204048.66,301409.28,249526.62,317993.27999999997,306573.06,288093.66,288080.88,373120.58999999997,288898.734,266304.24000000005,261085.56000000003,252061.158,232040.844,253479.82200000001,252020.286,249019.098,279038.952,246517.458,240085.914,273663.468,259616.53200000004,234988.596,218184.04200000002,166322.358,218117.694,269074.884,261042.07200000001,239076.066
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,57.0,78.0,135.0,75.444,87.744,66.498,184.95,120.666,72.438,54.324,128.268,100.57799999999999,85.968,147.162,32.952,41.658
Nicaragua,27664.68,42424.020000000004,32837.64,42367.8,40978.14,59080.560000000005,47598.299999999996,65011.38,64384.799999999996,93243.288,94345.956,64725.119999999995,70201.02,90545.88,64084.62,85908.69,85675.572,114340.284,86684.05200000001,112267.236,98269.296,131605.25999999998,112408.49399999999,123591.768,113860.96800000001,127825.32599999999,153317.886,158537.124,172746.02399999998,172939.194
Nigeria,1751.4,2658.78,2932.92,2719.1400000000003,3097.86,3182.2799999999997,2758.5,2680.02,3204.3,2704.02,2965.8599999999997,2640.18,2988.8999999999996,2769.024,2708.2740000000003,4114.308,3044.106,2529.948,3000.288,2056.1220000000003,2523.318,2812.7760000000003,2445.822,2451.4919999999997,2567.8920000000003,2476.692,2599.0919999999996,2537.286,2491.488,2548.1699999999996
Panama,12899.22,11551.92,11818.68,8523.960000000001,14898.779999999999,12566.880000000001,12644.519999999999,13048.14,11519.76,9982.86,10213.56,9596.34,8397.72,10323.720000000001,5423.352,10579.842,10386.09,10563.318,8949.654,8264.357999999998,6830.994000000001,6337.884,6931.188,6808.110000000001,6373.014,7624.704,7211.412,6273.726,7664.657999999999,6864.318
Sierra Leone,2566.98,3262.74,2345.04,2247.06,4364.28,2626.08,2454.6,2980.7400000000002,1612.92,3541.2000000000003,2949.3,4752.0,2503.7340000000004,2130.978,871.53,3597.972,1888.3200000000002,2400.0660000000003,5177.136,5442.102,1974.876,4697.874,3670.998,1904.076,2786.868,2755.656,2275.302,2276.7839999999997,2684.586,2399.2259999999997
Sri Lanka,5752.200000000001,4892.9400000000005,3190.8599999999997,3227.4,2546.88,2135.7,2219.94,3455.04,2744.2799999999997,1902.96,1996.8000000000002,1891.86,2062.8419999999996,2213.652,1898.6219999999998,2096.5919999999996,1972.5,2009.4360000000001,1851.864,1890.192,2225.2619999999997,2141.958,2114.904,2224.9500000000003,2142.1079999999997,2171.598,2202.966,2206.9739999999997,2152.656,2173.122
Thailand,45421.020000000004,88136.15999999999,75296.7,76512.06,83948.1,79033.56000000001,84214.86,77584.56,54959.159999999996,76370.268,101534.05200000001,42870.0,43914.0,49594.020000000004,53062.98,63837.905999999995,49348.134,39025.248,40473.756,47687.79,49690.404,49876.53,36485.676,38280.227999999996,50693.226,45718.848000000005,32252.61,38293.95,28920.413999999997,30994.698
Togo,9678.48,25959.12,5138.88,11696.34,10577.76,5064.0599999999995,17435.16,13264.68,19289.16,15768.48,11844.060000000001,6721.08,4092.2999999999997,8627.52,9931.32,8404.554,8036.999999999999,7507.86,8265.186,12112.986,9617.472,9602.82,5043.534,10290.354,8594.502,4855.392,1396.632,6882.948,3255.786,2437.02
Trinidad & Tobago,874.86,1067.52,859.68,964.74,1106.1,1057.74,1091.28,1163.52,1021.08,1013.4000000000001,983.58,969.9,993.1439999999999,965.8019999999999,907.41,891.7439999999999,701.886,728.094,685.164,684.414,621.522,669.462,733.632,733.452,720.078,707.382,707.466,720.054,799.1880000000001,701.46
Uganda,117300.54000000001,125280.06000000001,131104.44,188502.36000000002,143565.18000000002,194615.03999999998,205123.44,206392.08,203150.34,171746.82,204040.98,189466.62,173403.48,155911.92,156757.14,130512.06,173649.59999999998,209378.88,200110.02,173632.56,196033.91999999998,186903.78,234810.12,217972.02000000002,224668.62,218974.02,297729.48000000004,275808.78,282237.83999999997,330549.24000000005
Venezuela,67348.62000000001,56442.24,72917.88,79972.86,59339.76,87993.24,72369.72,57077.1,95836.74,82010.1,86995.44,75876.78,89015.376,85231.48199999999,79592.016,90378.054,94253.766,91227.03,55945.314000000006,72822.36600000001,72128.028,54124.301999999996,57145.206000000006,48226.128000000004,39023.897999999994,30007.554,31500.0,34290.768,34703.340000000004,39006.276
Vietnam,78617.28,86270.88,140426.82,181212.96,217896.54,238205.15999999997,345148.86,418736.52,423103.32,697854.828,890478.5399999999,785594.64,694436.1,920241.12,862227.1799999999,830510.1780000001,1160385.006,984305.928,1106287.206,1069520.718,1199999.994,1589976.666,1404126.342,1656586.884,1634431.314,1865402.514,1669150.5720000002,2005949.9400000002,1816984.488,1829229.864
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4122.0419999999995,3634.7400000000002,3836.16,3733.11,3404.676,11598.161999999998,12333.534,12190.848,12434.04,11877.222,13187.807999999999,8110.896000000001,9670.05,11104.062,11251.506000000001,11237.886,10702.884,9374.76,8607.198,7927.686,5134.572,5485.668000000001
Total,5593803.575999998,6076001.064,5911445.652000002,5505663.186,5598826.157999998,5239252.146000001,6198472.566,5993229.665999999,6531936.3719999995,7882951.704000001,6824770.703999999,6474101.393999999,7357520.640000002,6330154.721999999,6964653.540000001,6670147.986000001,8123978.964000002,7310547.366000001,8087981.6280000005,7672368.876000002,8404652.268000003,8479643.262000002,9071010.725999998,9234620.388,9018100.356,9367588.47,9739198.806,9821586.161999999,10347649.218000002,9903180.942000002
