Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1946,2305.65,2959.32,2092.28,1586.37,895.80,1855.36,1229.09,2094.69,1797.81,2501.70,2103.69,2094.69,1525.22,5341.23,1544.31,1289.01,3091.37,885.98,2585.45,1257.25,1212.20,2029.05,2238.22,1428.49,2804.63,1588.71,2343.64,1934.50,1861.05,1455.25,1441.67,2249.68,3182.06,2584.25
1947,2563.81,2914.04,2635.43,1715.90,854.18,2011.72,1554.29,2683.01,2124.48,2724.70,2525.09,2683.01,1494.98,6982.38,1943.01,1665.09,3201.10,728.77,2764.55,1511.81,1144.79,2593.10,2847.99,1420.23,3336.90,1798.00,2756.48,1820.89,2071.86,1643.93,1619.64,2843.84,3267.26,2617.15
1948,2310.93,2918.26,2266.50,1773.99,905.07,1946.02,1328.16,1885.74,1787.92,2481.81,2239.29,1885.74,1627.62,5194.04,1760.19,1346.65,3027.95,865.27,2584.68,1116.49,1248.28,2115.59,2135.86,1540.31,2774.96,1476.81,2221.08,1843.15,1925.32,1566.72,1323.48,2098.09,3082.89,2537.24
1949,2591.14,3085.47,2426.95,1728.88,892.83,2002.28,1496.71,2884.46,2059.43,2820.65,2469.23,2884.46,1677.83,7291.35,1813.46,1624.63,3148.92,1004.31,2770.53,1604.62,1267.78,2583.66,3175.22,1571.63,3527.90,1798.76,2720.43,1931.73,2025.89,1611.19,1641.77,2951.36,3223.44,2571.02
1950,2897.72,2892.60,3211.97,1857.38,1008.23,2183.58,1778.78,3633.72,2879.90,2977.97,2654.84,3633.72,2049.19,9138.41,2133.94,2118.91,3291.64,1365.67,2814.56,2103.19,1512.41,3059.07,3483.13,1988.52,3827.26,2510.03,3793.12,1872.51,2397.98,1672.68,2294.96,3873.52,3446.45,2447.53
1951,2536.76,3101.83,2432.57,1568.44,822.38,1695.41,1400.21,2584.49,2214.10,2631.93,2194.55,2584.49,1487.33,6509.44,1683.73,1670.45,3450.06,899.89,2770.81,1556.24,1183.74,2412.28,2883.81,1474.22,3127.62,1914.30,2829.27,1873.68,1903.21,1345.54,1773.78,2749.99,3734.37,2529.90
1952,2530.36,2864.79,2718.26,1730.26,1021.65,2076.76,1560.09,2553.98,2266.90,2610.08,2409.50,2553.98,1853.24,6814.56,1959.91,1687.34,3066.81,1111.79,2656.24,1526.53,1469.49,2419.58,2646.91,1649.12,3002.81,1921.91,2906.86,1838.39,2172.78,1667.52,1756.53,2824.77,3135.88,2469.31
1953,2510.77,3082.04,2322.07,1454.83,497.41,1524.75,1496.21,3068.97,2317.67,2805.22,2286.90,3068.97,1296.55,6967.80,1286.36,1813.34,2889.64,765.21,2689.84,1805.15,833.80,2719.55,3360.79,1312.15,3557.39,2093.24,2942.31,1843.71,1920.25,1038.64,1967.71,3112.18,2946.58,2540.51
1954,2634.93,2918.84,2598.89,1958.08,887.95,2259.23,1689.09,2860.28,2272.81,2808.55,2637.33,2860.28,1816.64,6956.54,1764.70,1813.35,3115.94,866.91,2723.32,1738.88,1266.26,2676.92,2940.93,1940.85,3446.47,1999.19,2913.56,1859.26,2425.60,1645.42,1874.60,2962.83,3213.32,2635.08
1955,2908.70,3029.77,3159.59,1918.22,1106.84,2387.92,1922.19,3514.38,2759.35,3125.97,2826.33,3514.38,1990.69,8904.81,2071.41,2113.49,3103.42,1208.69,2842.43,2075.11,1546.28,3074.86,3510.71,1987.19,4127.27,2428.93,3594.34,1807.88,2637.98,1845.02,2217.20,3774.45,3208.60,2540.45
1956,2760.26,3184.58,2900.93,1764.01,809.78,2082.91,1685.26,3109.53,2586.48,2860.03,2508.93,3109.53,1793.78,7844.14,1860.30,1911.90,3311.78,1024.32,2796.19,1847.31,1277.22,2667.69,3113.84,1905.23,3562.12,2222.48,3324.57,1891.59,2360.83,1519.55,2058.19,3364.98,3471.96,2647.16
1957,2359.07,2878.61,2240.92,1627.28,410.17,1599.81,1479.72,2326.23,2117.06,2581.89,2395.82,2326.23,1239.13,5914.87,1306.15,1643.67,2986.87,617.00,2681.46,1451.59,722.58,2457.70,2607.98,1388.70,2896.38,1838.77,2615.96,1900.19,1889.85,1081.63,1737.10,2600.28,3041.36,2440.11
1958,2130.84,2965.75,1952.43,1395.07,834.43,1568.05,1104.26,2100.12,1661.44,2353.98,1944.33,2100.12,1326.75,5198.64,1614.51,1246.45,2692.88,755.88,2466.38,1219.60,1160.09,1988.98,2211.91,1022.00,2598.17,1447.69,2108.24,1778.22,1419.18,1379.72,1352.17,2191.65,2798.18,2225.90
1959,2541.10,2977.67,2626.34,1678.60,663.85,1762.38,1549.84,2580.78,2240.46,2719.32,2504.43,2580.78,1405.23,7036.69,1700.96,1757.89,3191.74,751.24,2822.78,1498.94,991.26,2717.81,2735.46,1393.88,3136.58,1893.48,2883.41,1792.25,1876.06,1328.74,1695.52,2927.29,3412.81,2405.03
1960,2566.50,2910.04,2645.68,1414.07,1089.19,1888.02,1508.03,2657.34,2287.99,2727.04,2287.91,2657.34,1575.15,7048.84,1958.00,1751.02,3273.32,1013.78,2807.80,1628.02,1390.01,2618.88,2550.76,1234.56,3107.36,2041.65,3044.39,1829.40,1843.53,1691.04,1839.02,2960.21,3548.63,2481.96
1961,2464.39,3131.48,2333.26,1378.06,974.47,1663.12,1287.43,2404.66,2003.68,2660.76,2034.57,2404.66,1469.51,6852.60,1731.89,1541.19,3352.26,988.03,2732.62,1499.59,1278.02,2403.44,2490.33,1096.58,2909.47,1789.07,2682.81,1140.71,1562.97,1431.75,1633.82,2751.79,3567.66,2531.26
1962,2623.43,3190.54,2669.61,1537.46,943.64,1945.45,1508.94,2736.48,2268.71,2855.80,2317.69,2736.48,1600.42,6672.48,1960.60,1671.57,3376.59,974.21,2804.38,1635.30,1324.39,2570.47,2649.07,1310.66,3229.69,1886.23,2765.52,2322.98,2007.38,1588.67,1783.09,2866.87,3493.59,2722.70
1963,2616.80,2934.90,2649.85,1684.82,846.94,2000.35,1543.61,2603.61,2340.05,2885.15,2388.96,2603.61,1681.91,6740.29,1929.57,1764.39,3277.73,1020.98,2891.81,1703.18,1308.61,2645.73,2469.50,1586.17,3198.66,2040.54,2865.99,2153.67,2076.27,1543.42,1957.29,2881.95,3444.81,2704.38
